locustag,title,description,function,product,essential,protID
BSU06350,yebA,unknown,unknown,unknown,no,P94476
BSU28330,ysnE,similar to acetyltransferase,unknown,unknown,no,P94562
BSU20100,yosJ,unknown,unknown,unknown,no,O31879
new33461173347050c,S1254,new RNA feature  intergenic region,,intergenic region,,
new19218661922524c,S661,new RNA feature  independent transcript,,independent transcript,,
BSU28540,fadB,3-hydroxyacyl-CoA dehydratase,fatty acid degradation,3-hydroxyacyl-CoA dehydratase,no,P94549
new40533734053453c,S1519,new RNA feature  intergenic region,,intergenic region,,
BSU04070,ycsI,unknown,unknown,unknown,no,P42966
BSU38860,galE,UDP glucose 4-epimerase,galactose utilization,UDP glucose 4-epimerase,no,P55180
BSU27250,mccB,cystathionine lyase/ homocysteine gamma-lyase,methionine-to-cysteine conversion,cystathionine lyase/  homocysteine gamma-lyase,no,O05394
BSU29840,ytpP,cleavage of CoA moieties from modified proteins  similar to thioredoxin H1,cleavage of CoA moieties from modified proteins,protein deCoAlase,no,O34357
BSU20570,yoqN,unknown,unknown,unknown,no,O31924
BSU04190,ydaD,general stress protein  similar to alcohol dehydrogenase,unknown,unknown,no,P80873
BSU32440,pucK,uric acid permease,purine utilization,uric acid permease,no,O32140
BSU15380,ylmE,pyridoxal phosphate-binding protein  involved in controlling the availability of coenzyme A,control of the CoA pool,pyridoxal phosphate-binding protein,no,O31727
BSU25770,spoIVCA,site-specific DNA recombinase required for creating the [[gene|24F7FD5C7C3A68BB2760ABB8CBD8FBD65E5FF7D4]] gene (excision of the [[category|SW.5.1.3]]),excision of the [[category|SW.5.1.3]]  creation of the [[gene|24F7FD5C7C3A68BB2760ABB8CBD8FBD65E5FF7D4]] gene,site-specific DNA recombinase,no,P17867
BSU30440,ytrC,[wiki|ABC transporter] (hydrophobic protein  probably channel protein),unknown,[wiki|ABC transporter] (hydrophobic protein  probably channel protein),no,O34898
BSU12650,xkdK,PBSX prophage,unknown,unknown,no,P54331
BSU00290,darA,c-di-AMP-binding PII-like protein,unknown,c-di-AMP-binding PII-like protein,,P37538
BSU23402,spoVAEB,spore germinant protein  essential for the transport of the 1:1 chelate of pyridine-2 6-dicarboxylic acid (DPA(2 6)) and Ca(2+) into spores and DPA release during [[category|SW.4.2.4]],spore germination,spore germinant protein,no,C0H450
BSU22869,ypzI,unknown,unknown,unknown,-,C0H446
new19439831944112c,S676,new RNA feature  intergenic region,,intergenic region,,
BSU06074,ydzW/2,putative phosphomannomutase  internal part of YdzW,unknown,unknown,-,
BSU16299,swrD,swarming protein  increases flagellar power via the flagellar stators [[protein|86C729C7D5ABEE519ADC4A893940600BBB655EF1]] and [[protein|FE56753D061344B0F10A6523F49C5C7356AA40B6]],swarming,swarming protein,-,C0H412
BSU09420,lytE,cell wall hydrolase (major autolysin) for cell elongation and separation  D L-endopeptidase-type autolysin,major autolysin  cell elongation and separation,cell wall hydrolase (major autolysin) endopeptidase-type autolysin,no,P54421
BSU07080,yesZ,beta-galactosidase  has transgalactosylation activity,unknown,beta-galactosidase,no,O31529
BSU06280,ydjP,similar to chloroperoxydase,unknown,unknown,no,O34592
new32619383262008c,S1219,new RNA feature  intergenic region,,intergenic region,,
BSU18899,yozX,unknown,unknown,unknown,-,C0H425
new23407622341218c,S845,new RNA feature  5'UTR of yppC,,5'UTR of yppC,,
new23774952377626c,S857,new RNA feature  independent transcript,,independent transcript,,
BSU11360,appD,oligopeptide [wiki|ABC transporter ](ATP-binding protein),uptake of oligopeptides,oligopeptide [wiki|ABC transporter ](ATP-binding protein)),no,P42064
BSUtRNA2,trnY-Asp,null,translation,transfer RNA-Asp,no,
BSU18400,yoeD,unknown,unknown,unknown,no,O34555
BSU05680,ydgK,similar to bicyclomycin resistance protein,unknown,unknown,no,P96709
BSU36550,spoIIQ,component of the [[protein|00BDD4E3370DB3A9F4D75FE265A2A8DF05185CCC]]-[[protein|3282D2C25468776881778006F182FCF322C4821D]] type III secretion system residing in the forespore membrane  required for anchoring of proteins on both sides of the sporulation septum  required for localization and stability of [[protein|7C8DFE00A2B2B30CC8BEB35055D92CC2E4128F3A]],forespore encasement by the spore coat,part of the transmembrane channel linking the mother cell and the forespore,no,P71044
new28666052866663c,S1060,new RNA feature  intergenic region,,intergenic region,,
BSU08310,lnrL,similar to [wiki|ABC transporter] (ATP-binding protein)  involved in resistance to linearmycin,resistance to linearmycin,[wiki|ABC transporter] (ATP-binding protein),no,P94440
new25743242574407c,S934,new RNA feature  intergenic region,,intergenic region,,
new38472793847347,S1451,new RNA feature  intergenic region,,intergenic region,,
BSU36780,ywzB,unknown,unknown,unknown,no,O32278
BSU13550,mtnA,5-methylthioribose-1-phosphate isomerase,methionine salvage,5-methylthioribose-1-phosphate isomerase,no,O31662
new22125212213082c,S788,new RNA feature  intergenic region,,intergenic region,,
BSUmiscRNA84,bsrI,,,,,
BSU14820,ylaL,unknown,unknown,unknown,no,O07636
BSU11040,yitM,[wiki|biofilm] toxin,protection of <i>B. subtilis</i> biofilms against competitors,biofilm toxin,no,O06748
new27785742778790c,S1024,new RNA feature  independent transcript,,independent transcript,,
BSU11520,mecA,buffering protein for development  dampens transitions to spore  biofilm exopolysaccharide and competence expression   targets [[protein|08CFA2C72931A75532D4289BC1D18A826DE9F9CA]] and [[protein|4D76F07D6124D56C7CEBBDAB9E84B2718BF1E7FC]] to the [[protein|86A2F2F65290F4471D6FD03B694821C66C180D8A]]-[[protein|CB06A70DE7462CEB7AF5D8C28943C878DD56DE1A]] degradation machine (in log phase)  inhibits the transcriptional activity of [[protein|2C54FE2ADC82FF414D732018C90649D477A925AD]]-P by direct interaction,control of [[protein|08CFA2C72931A75532D4289BC1D18A826DE9F9CA]] degradation  regulation of competence,adaptor protein,no,P37958
BSU19280,yocN,similar to permease,unknown,unknown,no,O34855
new36665083667599,S1363,new RNA feature  3'UTR of gtaB,,3'UTR of gtaB,,
BSU28140,hemD,uroporphyrinogen-III synthase,heme biosynthesis,uroporphyrinogen-III synthase,no,P21248
BSUtRNA17,trnJ-Leu2,null,translation,transfer RNA-Leu,no,
BSU11320,yjzB,spore coat protein,protection of the spore,spore coat protein,no,O34891
new25188772519029c,S914,new RNA feature  5'UTR of spo0A,,5'UTR of spo0A,,
BSU04960,conG,part of the ICEBs1 conjugation machinery  exclusion specificity factor,conjugative transfer of ICEBs1,part of the ICEBs1 conjugation machinery,no,P96644
BSU35800,gerBA,nutrient receptor  germination response to the combination of glucose  fructose  and KCl,germination response to the combination of glucose  fructose  and KCl,part of the putative nutrient-gated [[protein|3368743E6E03792DB83A38A19989123304DF7560]]-[[protein|D70EC7C02BC79BED724489ABCB6356447F215B87]]-[[protein|93D4D6864686E6E559E6CEFA69BAC77EEFAA1BE3]] ion channel,no,P39569
BSU25260,glyS,glycyl-tRNA synthetase (beta subunit),translation,glycyl-tRNA synthetase (beta subunit),yes,P54381
BSU13610,mtnB,methylthioribulose-1-phosphate dehydratase,methionine salvage,methylthioribulose-1-phosphate dehydratase,no,O31668
BSU14569,ykzV,unknown,unknown,unknown,-,C0H409
BSU24460,papA,Xaa-Pro amino-peptidase,degradation of proline-containing peptides,Xaa-Pro amino-peptidase,no,P54518
new15694271569518,S549,new RNA feature  5'UTR of ylbH,,5'UTR of ylbH,,
new37904983790582c,S1428,new RNA feature  intergenic region,,intergenic region,,
BSU34460,levB,endolevanase,levan degradation,endolevanase,no,O07003
BSU40690,yybC,unknown,unknown,unknown,no,P37501
BSU22520,ypjB,unknown,unknown,unknown,no,P54393
new95299614,S7,new RNA feature  5' of rrnO-16S,,B-1 RNA motif  5' of rrnO-16S,,
BSU25289,yqzL,unknown,unknown,unknown,-,C0H452
BSU25875,BSU_25875,,,,,
BSU07320,yfnC,similar to fosmidmycin resistance protein,unknown,unknown,no,O06481
BSUrRNA12,rrnE-23S,23S rRNA,translation,ribosomal RNA-23S,no,
BSU22480,mgsA,methylglyoxal synthase,bypass of glycolysis,methylglyoxal synthase,no,P42980
BSU00300,yaaR,unknown,unknown,unknown,no,P37539
BSU26600,bltD,spermidine/ spermine acetyltransferase,spermidine degradation,spermidine/ spermine acetyltransferase,no,P39909
BSU21040,yonO,SP beta DNA-dependent RNA polymerase,transcription of late SP beta genes,SP beta RNA polymerase,no,O31945
new39061043907171,S1466,new RNA feature  3'UTR of ywcJ,,3'UTR of ywcJ,,
BSU04840,devI,modulator of developmental processes: inhibition of biofilm formation and sporulation by ICEBs1-containing cells,manipulation of host developmental programs,ihibitor of host development,no,P96632
BSU22900,ypfB,unknown,unknown,unknown,no,P38492
BSU09340,yhdA,NADPH-dependent FMN oxidoreductase,protection against oxidative stress,NADPH-dependent FMN oxidoreductase,no,O07529
new27309212731106c,S1002,new RNA feature  3'UTR of cypA,,3'UTR of cypA,,
BSUmiscRNA28,BSU_misc_RNA_28,null,null,,,
BSU16480,swrB,control of [[protein|7024E4162A6D827069F882FDEACA696EBC05DD40]] activity  required for full [[protein|7024E4162A6D827069F882FDEACA696EBC05DD40]] activity  activates the flagellar type III secretion export apparatus by the membrane protein [[protein|6ED6C3DDC4F3142FD01D32840D955B7E4A19F385]],control of [[protein|7024E4162A6D827069F882FDEACA696EBC05DD40]] activity,unknown,no,P40405
BSU13280,ykoJ,unknown,unknown,unknown,no,O35012
BSU02560,ycbM,two-component sensor kinase,unknown,two-component sensor kinase,no,P42245
BSU02520,ycbJ,similar to macrolide 2-phosphotransferase,unknown,unknown,no,P42242
BSU13830,ykvU,spore cortex membrane protein  required for germination at high pressure,germination at high pressure,spore cortex  membrane protein,no,O31686
BSU08460,yfhA,[wiki|ABC transporter] for the siderophore schizokinen and arthrobactin (permease)  works with ATPase [[protein|5C52DB31F378E49AABE5D937DD901A68F3810477]],[wiki|acquisition of iron],[wiki|ABC transporter] for the siderophore schizokinen and arthrobactin (permease),no,O31569
BSU16020,rimM,16S rRNA processing protein  RNase,maturation of 16S rRNA,16S rRNA processing protein  RNase,no,O31740
new30282073028296,S1124,new RNA feature  5'UTR of braB,,5'UTR of braB,,
BSU38490,menA,probable 1 4-dihydroxy-2-naphthoate octaprenyltransferase,biosynthesis of menaquinone,probable 1 4-dihydroxy-2-naphthoate octaprenyltransferase,yes,P39582
BSU36140,ywqO,unknown,unknown,unknown,no,P96727
BSU17678,ynzJ,unknown  putative pseudogene,unknown,unknown,-,
BSU32130,guaC,GMP reductase,purine salvage and interconversion,GMP reductase,no,O05269
BSU29360,tcyL,cystine [wiki|ABC transporter] (permease),cystine uptake,cystine [wiki|ABC transporter] (permease),no,O34315
new39050663905130c,S1465,new RNA feature  5'UTR of sacP,,5'UTR of sacP,,
BSU05870,gmuF,mannose-6-P-isomerase,glucomannan utilization,mannose-6-P-isomerase,no,O05511
BSU27010,adhA,thiol-dependent aldehyde dehydrogenase  repair of damaged thiol-containing proteins,response to toxic formaldehyde,thiol-dependent aldehyde dehydrogenase  reduction of aldehydes,no,C0SPA5
new14148271414907c,S482,new RNA feature  5'UTR of ykrK,,5'UTR of ykrK,,
BSU04360,mntH,manganese transporter (proton symport),manganese uptake,manganese transporter (proton symport)),no,P96593
BSU02460,ycbC,5-dehydro-4-deoxyglucarate dehydratase,utilization of D-glucarate/galactarate,5-dehydro-4-deoxyglucarate dehydratase,no,P42235
BSU02530,rtpA,anti-TRAP,regulation of tryptophan biosynthesis,anti-TRAP,no,O31466
new12281351228924,S410,new RNA feature  intergenic region,,intergenic region,,
BSU36000,alsD,acetolactate decarboxylase,overflow metabolism,acetolactate decarboxylase,no,Q04777
BSU38780,yxkI,similar to heat shock protein,unknown,unknown,no,P94362
new4552445632,S24,new RNA feature  5'UTR of metS,,5'UTR of metS,,
BSU00450,sspF,small acid-soluble spore protein (minor),protection of spore DNA,small acid-soluble spore protein (minor),no,P37549
new20439332044037,S702,new RNA feature  intergenic region,,intergenic region,,
new746000747189,S244,new RNA feature  3'UTR of yeeC,,3'UTR of yeeC,,
BSU04536,fbpA,[[protein|F899F1EE27E6D503BCC06BC52E3C7FD80B8EF725]]-regulated basic protein  acts as RNA chaperone for [[gene|CE542AE1A32CCD1ABB259E6159F7A37A8078E189]],RNA chaperone,[[protein|F899F1EE27E6D503BCC06BC52E3C7FD80B8EF725]]-regulated basic protein  acts as RNA chaperone for [[gene|CE542AE1A32CCD1ABB259E6159F7A37A8078E189]],no,
new24641202464226c,S898,new RNA feature  intergenic region,,intergenic region,,
BSU23790,yqjP,similar to metallohydrolase,unknown,unknown,no,P54553
BSU32120,yuzG,unknown,unknown,unknown,no,O32111
BSU26160,yqbC,unknown,unknown,unknown,no,P45919
new10563841056537,rosA,RNA sponge  regulator of small RNA A,regulator of small RNA,[wiki|sRNA],,
new26357402635814,S961,new RNA feature  5'UTR of rpsT,,5'UTR of rpsT,,
BSU39270,bglP,beta-glucoside permease of the [wiki|phosphotransferase systems|phosphotransferase system]  EIIBCA of the [[category|SW.1.2.2|PTS]]  [[category|SW.3.4.3]]  control of [[protein|FAC682CCD66056A8CBB9AE5F4BF51C1AADEBBD2C]] activity,beta-glucoside uptake and phosphorylation  control of [[protein|FAC682CCD66056A8CBB9AE5F4BF51C1AADEBBD2C]] activity,beta-glucoside permease of the [wiki|phosphotransferase systems|phosphotransferase system],no,P40739
BSU26850,yrpG,similar to sugar-phosphate dehydrogenase,unknown,unknown,no,O05408
BSU12800,xhlB,putative holin  required for the formation of membrane vesicles in a sub-population of cells,host cell lysis,putative holin,no,Q99163
BSU25200,sigA,[wiki|RNA polymerase] major [wiki|sigma factor] SigA,transcription,[wiki|RNA polymerase] major [wiki|sigma factor] SigA,yes,P06224
new22216392221791,S796,new RNA feature  independent transcript,,independent transcript,,
new23330562333210c,S839,new RNA feature  5'UTR of cotD,,5'UTR of cotD,,
BSU25570,comEC,channel protein for DNA binding and uptake,genetic competence,DNA channel,no,P39695
BSU27230,forE2,essential subunit of formate:menadione oxidoreductase [[protein|A4304213CFC152B601B2EED2B9B3A0A3AB4E6A81]]-[[protein|364BC3B51D8DF152C2DF31046D4F80595C75884B]],unknown,partner subunit of formate:menadione oxidoreductase [[protein|A4304213CFC152B601B2EED2B9B3A0A3AB4E6A81]]-[[protein|364BC3B51D8DF152C2DF31046D4F80595C75884B]],no,O05396
new29250272925099c,S1080,new RNA feature  intergenic region,,intergenic region,,
new24835142483788c,S905,new RNA feature  5'UTR of polY1,,5'UTR of polY1,,
BSU38200,galK,galactokinase,galactose utilization,galactokinase,no,P39574
new946423946695,S304,new RNA feature  5' of rrnD-16S,,5' of rrnD-16S,,
BSU07390,yfmP,transcription repressor ([wiki|MerR family]) of the [[gene|36AF02B4EB416ABCA3F0E4C5A4126E777A20C7D1]]-[[gene|D91356CF66ADE0CFA9E95A686DC7355B348C8B5C]] operon,regulation of the [[gene|36AF02B4EB416ABCA3F0E4C5A4126E777A20C7D1]]-[[gene|D91356CF66ADE0CFA9E95A686DC7355B348C8B5C]] operon,transcription repressor ([wiki|MerR family]),no,O06474
BSU19150,yocB,general stress protein  survival of stress conditions,survival of stress conditions,unknown,no,O34516
new15690011569224c,S546,new RNA feature  3' of S547,,3' of S547,,
new40866464086801,S1529,new RNA feature  5'UTR of yxcE,,5'UTR of yxcE,,
new26098942610040c,S957,new RNA feature  intergenic region,,intergenic region,,
new27870662787129c,S1033,new RNA feature  intergenic region,,intergenic region,,
BSU05110,ydeA,glyoxalase III-like enzyme,detoxification of methylglyoxal,glyoxalase III-like enzyme,no,P96658
BSU28390,racE,glutamate racemase,peptidoglycan precursor biosynthesis,glutamate racemase,yes,P94556
new16735151673619,S579,new RNA feature  intergenic region,,intergenic region,,
new339879339987,S112,new RNA feature  5'UTR of aroK,,5'UTR of aroK,,
BSU02490,ycbF,glucarate dehydratase,glucarate utilization,glucarate dehydratase,no,P42238
new18631941863382,S619,new RNA feature  intergenic region,,intergenic region,,
BSU25510,lepA,elongation factor 4  GTP-binding protein,translation elongation,elongation factor 4,no,P37949
new30606743060844,S1147,new RNA feature  3'UTR of ytzH,,3'UTR of ytzH,,
BSU00510,prs,phosphoribosylpyrophosphate synthetase  universally conserved protein,phosphoribosylpyrophosphate synthesis (biosynthesis of histidine),phosphoribosylpyrophosphate synthetase,yes,P14193
BSU18560,yoaD,similar to phosphoglycerate dehydrogenase,methionine biosynthesis,unknown,no,O34815
BSUrRNA14,rrnI-23S,23S rRNA,translation,ribosomal RNA-23S,no,
BSU16630,infB,translation initiation factor IF-2  ribosome-dependent GTPase interacting with 30 ribosome subunits  ensures correct binding of initiator tRNAs,translation,initiation factor IF-2,yes,P17889
new28974692897599c,S1073,new RNA feature  5' of BSU_misc_RNA_45,,5' of BSU_misc_RNA_45,,
BSU06240,bdhA,acetoine/ butanediol dehydrogenase,overflow metabolism  fermentation,acetoine/ butanediol dehydrogenase,no,O34788
